location_name,address_line_1,city,state,postcode
Camberwell Grammar School,55 Mont Albert Rd,CANTERBURY,VIC,3126
Carey Baptist Grammar School,349 Barkers Rd,KEW,VIC,3101
Carey Baptist Grammar School -Donvale Campus,"9 Era Court, Donvale VIC 3111",Donvale,VIC,3111
Caulfield Grammar School,217 Glen Eira Rd,ST KILDA EAST,VIC,3182
Caulfield Grammar School Wheelers Hill Campus,74 Jells Rd,Wheelers Hill,VIC,3150
Malvern Campus,5 Willoby Ave,GLEN IRIS,VIC,3146
City Campus,"Level 2, 398 Lonsdale St",Melbourne,VIC,3000
Eltham College,1660 Main Rd,RESEARCH,VIC,3095
Fintona Girls School,79 Balwyn Rd,BALWYN,VIC,3103
Firbank Grammar School,51 Outer Cres,BRIGHTON,VIC,3186
Sandringham Campus,45 Royal Ave,Sandringham,VIC,3191
Camberwell Anglican Girls Grammar,2 Torrington St,CANTERBURY,VIC,3126
The Geelong College,150 Noble St,GEELONG,VIC,3220
Geelong Grammar School,50 Biddlecombe Ave,CORIO,VIC,3214
Hamilton College,1 Chaucer St,HAMILTON,VIC,3300
Huntingtower School Association,77 Waimarie Dr,MOUNT WAVERLEY,VIC,3149
Ivanhoe Grammar School,The Ridgeway,IVANHOE,VIC,3079
Plenty Campus,730 Bridge Inn Rd,Doreen,VIC,3754
The Ivanhoe Grammar School - La Trobe University Campus,Terraces 1 and 2,Macleod,VIC,3085
Kilvington Grammar School Ltd,2 Leila Rd,ORMOND,VIC,3204
Kingswood College Ltd,355 Station Rd,BOX HILL,VIC,3128
The Knox School,220 Burwood Hwy,WANTIRNA SOUTH,VIC,3152
Lauriston Girls School,38 Huntingtower Rd,ARMADALE,VIC,3143
"56 York St, Sydney",56 York St,Sydney,NSW,2000
CCI Head Office,Levels 5-10,Sydney,NSW,2000
Sydney City Campus,Suite 19 650 George St,SYDNEY,NSW,2000
Indus Institute - Brisbane - Level 2 183 North Quay BRISBANE CITY QLD 4000,Level 2 183 North Quay,North Quay,QLD,4000
"Levels 9 & 10/350 Queen Street, Melbourne",350 Queen St,MELBOURNE,VIC,3000
